state_county_fips,state,county
155031,Wisconsin,Douglas County
155033,Wisconsin,Dunn County
155035,Wisconsin,Eau Claire County
155037,Wisconsin,Florence County
155039,Wisconsin,Fond du Lac County
155041,Wisconsin,Forest County
155043,Wisconsin,Grant County
155045,Wisconsin,Green County
155047,Wisconsin,Green Lake County
155049,Wisconsin,Iowa County
155051,Wisconsin,Iron County
155053,Wisconsin,Jackson County
155055,Wisconsin,Jefferson County
155057,Wisconsin,Juneau County
155059,Wisconsin,Kenosha County
155061,Wisconsin,Kewaunee County
155063,Wisconsin,La Crosse County
155065,Wisconsin,Lafayette County
155067,Wisconsin,Langlade County
155069,Wisconsin,Lincoln County
155071,Wisconsin,Manitowoc County
155073,Wisconsin,Marathon County
155075,Wisconsin,Marinette County
155077,Wisconsin,Marquette County
155078,Wisconsin,Menominee County
155079,Wisconsin,Milwaukee County
155081,Wisconsin,Monroe County
155083,Wisconsin,Oconto County
155085,Wisconsin,Oneida County
155087,Wisconsin,Outagamie County
155089,Wisconsin,Ozaukee County
155091,Wisconsin,Pepin County
155093,Wisconsin,Pierce County
155095,Wisconsin,Polk County
155097,Wisconsin,Portage County
155099,Wisconsin,Price County
155101,Wisconsin,Racine County
155103,Wisconsin,Richland County
155105,Wisconsin,Rock County
155107,Wisconsin,Rusk County
155109,Wisconsin,St. Croix County
155111,Wisconsin,Sauk County
155113,Wisconsin,Sawyer County
155115,Wisconsin,Shawano County
155117,Wisconsin,Sheboygan County
155119,Wisconsin,Taylor County
155121,Wisconsin,Trempealeau County
155123,Wisconsin,Vernon County
155125,Wisconsin,Vilas County
155127,Wisconsin,Walworth County
155129,Wisconsin,Washburn County
155131,Wisconsin,Washington County
155133,Wisconsin,Waukesha County
155135,Wisconsin,Waupaca County
155137,Wisconsin,Waushara County
155139,Wisconsin,Winnebago County
155141,Wisconsin,Wood County
156001,Wyoming,Albany County
156003,Wyoming,Big Horn County
156005,Wyoming,Campbell County
156007,Wyoming,Carbon County
156009,Wyoming,Converse County
156011,Wyoming,Crook County
156013,Wyoming,Fremont County
156015,Wyoming,Goshen County
156017,Wyoming,Hot Springs County
156019,Wyoming,Johnson County
156021,Wyoming,Laramie County
156023,Wyoming,Lincoln County
156025,Wyoming,Natrona County
156027,Wyoming,Niobrara County
156029,Wyoming,Park County
156031,Wyoming,Platte County
156033,Wyoming,Sheridan County
156035,Wyoming,Sublette County
156037,Wyoming,Sweetwater County
156039,Wyoming,Teton County
156041,Wyoming,Uinta County
156043,Wyoming,Washakie County
156045,Wyoming,Weston County
